73,Bigs Tapatio Chile Limon Sunflower Seeds,0.75,cup,30,0,190,9,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.5,0,0,0,0,4,4,0,0,0,0,20,1.8,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,1.47,3,Dried Fruits and Nuts
74,True North Chocolate Nut Crunch,5,clusters,28,0,150,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,2,0,0,11,2,7,0,0,0,40,0.72,40,100,0,70,0.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,H-E-B,2.98,5,Dried Fruits and Nuts
75,H-E-B Select Ingredients Dried Fruit Wild Blueberries,0.25,cup,40,0,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,27,0,0,0,60,1.44,0,0,150,0,0,0,0,0,0,100,0,0,0,0,0,0,0,21,0,0,0,H-E-B,2.98,2,Dried Fruits and Nuts
76,Snack Factory Fruit Sticks Apple Strawberry,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.39,0,Dried Fruits and Nuts
77,Jubes Nata De Coco Strawberry Flavor,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,1.49,0,Dried Fruits and Nuts
78,H-E-B Hit the Trail Mix,0.25,cup,30,0,150,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.5,0,0,0,0,11,2,5,0,0,0,20,1.44,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.99,9,Dried Fruits and Nuts
79,Bare Honey Coconut Chips,0.5,cup,30,0,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,16,6,10,0,0,0,0,0.72,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,H-E-B,3.79,3,Dried Fruits and Nuts
80,Blue Diamond Bold Wasabi And Soy Sauce Almonds Value Pack,1,oz,28,0,170,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,6,3,2,0,0,0,80,1.08,80,0,180,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,H-E-B,8.98,16,Dried Fruits and Nuts
81,H-E-B P.B. and Chocolate Lovers Trail Mix,0.25,cup,31,0,170,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.5,4,2.5,0,0,15,2,10,0,0,0,40,0.72,0,0,135,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.18,9,Dried Fruits and Nuts
82,H-E-B Select Ingredients Halves and Pieces Cashews,1,oz,28,0,170,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2.5,7,2.5,0,0,8,1,1,0,0,0,20,1.44,60,150,0,120,1.2,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,7.98,14,Dried Fruits and Nuts
83,H-E-B Chocolate Nut Crunch Mix,0.25,cup,30,0,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,16,2,12,0,0,0,20,0.72,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,3.49,8,Dried Fruits and Nuts
84,H-E-B Dry Roasted Macadamias,0.25,cup,30,0,210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3.5,18,0,0,0,4,2,1,0,0,0,20,0.72,0,0,0,130,0,0,0.9,0,0,0,0.225,0,0,0,0,0,0,0,0,0,0,H-E-B,6.38,6,Dried Fruits and Nuts
85,SunRidge Farms Unsulphured Tropical Fruit Chunks Mix,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H-E-B,8.99,0,Dried Fruits and Nuts
